season,explicit_kizuz,regular_last_round,playoff_source,warnings,notes
2006/07,False,33,none,[],Legacy era: no playoff split tracked for this project.
2007/08,False,33,none,[],Legacy era: no playoff split tracked for this project.
2008/09,False,33,none,[],Legacy era: no playoff split tracked for this project.
2009/10,True,30,betexplorer,[],"Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | חוק הקיזוז seasons (2009/10, 2010/11): carry points halved with integer truncation (pts // 2)."
2010/11,True,30,betexplorer,[],"Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | חוק הקיזוז seasons (2009/10, 2010/11): carry points halved with integer truncation (pts // 2)."
2011/12,False,30,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2012/13,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2013/14,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2014/15,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2015/16,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2016/17,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2017/18,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2018/19,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2019/20,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2020/21,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2021/22,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2022/23,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2023/24,False,26,betexplorer,[],Subgroup tables after the split: ranks are within the championship or relegation cohort only (not comparable to pre-split global rank 1–N). | Points from the regular season are halved for playoff carry points; goal difference from the regular phase is carried for tie-breaks within each mini-league. | Other split-era seasons: carry points mapped with int(round(pts / 2)) before playoff fixtures.
2025/26,False,11,none,[],No championship/relegation tracking — playoffs skipped.
