dataset,path,exists,grain,row_count,columns,available_seasons,research_questions_supported,reused_in_final_table
matches_dated,notebooks\data\matches\matches_all_seasons_ligat_haal_transfermarkt_dated.csv,True,match-level,3862,"round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num","2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26","home advantage, goals, playoff split",True
matches_tm,notebooks\data\matches\matches_all_seasons_ligat_haal_transfermarkt.csv,True,match-level,3862,"round,home,score,away,season,season_year","2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26","home advantage, goals",False
regular_season_tracking,notebooks\data\regular_season_tracking,True,team-round-level,15770,varies,multiple,"title race, relegation, league balance",True
regular_final_tables,notebooks\data\interim\scraped_standings\regular_final_tables,True,team-season-level,280,varies,multiple,"champion, league balance",True
title_race_season_summary,notebooks\data\processed\title_race_analysis\season_summary_statistics.csv,True,processed-analysis-output,19,"season,rounds,avg_gap,final_gap,max_gap,min_gap,tight_rounds,tight_pct,dominant_rounds,dominant_pct,leadership_changes,distinct_leaders,first_leader,last_leader,change_percentage,structure,num_teams,playoff_format",see files,title race (partial reuse),False
rounds_led,notebooks\data\processed\title_race_analysis\rounds_led_by_team_per_season.csv,True,processed-analysis-output,64,"season,leader,rounds_led",see files,champion stability (reference),False
relegation_summary,notebooks\data\processed\relegation_competitiveness\summary_all_metrics_by_season.csv,True,processed-analysis-output,19,"season,n_relegation_contenders,checkpoint_round,points_gap_survival,gd_gap_survival,total_relegation_zone_changes,unique_teams_ever_in_zone,avg_changes_per_round,first_confirmation_round,last_confirmation_round,mean_rounds_before_end",see files,relegation (partial reuse),False
relegation_volatility,notebooks\data\processed\relegation_competitiveness\metric4_relegation_zone_volatility.csv,True,processed-analysis-output,19,"season,total_relegation_zone_changes,unique_teams_ever_in_zone,avg_changes_per_round",see files,relegation volatility (validated),True
gini_by_season,notebooks\data\processed\gini_by_season.csv,True,processed-analysis-output,20,"season,Gini,interpretation,num_teams,max_points,min_points,point_gap",see files,league balance,True
playoff_betexplorer,notebooks\data\playoffs\scraped_betexplorer,True,match-level,1798,varies,multiple,playoff vs regular,True
attendance_notebooks,notebooks\data\attendance,True,match-level,560,varies,multiple,placeholder_for_future_stage,False
field_checklist:season,matches + tracking,True,field,,season,,available,True
field_checklist:round_matchweek,matches + tracking,True,field,,round_matchweek,,available,True
field_checklist:match_date,matches + tracking,True,field,,match_date,,available,True
field_checklist:home_team,matches + tracking,True,field,,home_team,,available,True
field_checklist:away_team,matches + tracking,True,field,,away_team,,available,True
field_checklist:score,matches + tracking,True,field,,score,,available,True
field_checklist:home_goals,matches + tracking,False,field,,home_goals,,missing,True
field_checklist:away_goals,matches + tracking,False,field,,away_goals,,missing,True
field_checklist:match_result,matches + tracking,True,field,,match_result,,available,True
field_checklist:league_table_by_round,matches + tracking,True,field,,league_table_by_round,,available,True
field_checklist:regular_playoff_stage,matches + tracking,True,field,,regular_playoff_stage,,available,True
field_checklist:final_standings,matches + tracking,True,field,,final_standings,,available,True
field_checklist:attendance_crowd,matches + tracking,True,field,,attendance_crowd,,placeholder_for_future_stage,False
field_checklist:day_of_week,matches + tracking,True,field,,day_of_week,,available_not_used,True
