question_id,research_question,feature_name,required_columns,available_columns,status,explanation,recommended_next_step,source_used
1,Which seasons had the closest title race?,title_race_closeness_score,see season_research_summary.csv,title_race_closeness_score,answerable_now,Computed from tracking; final_gap from playoff final table in playoff seasons.,Review top seasons in charts.,playoff_final_table + tracking
2,In which round was the championship mathematically decided?,title_decision_round,see season_research_summary.csv,title_decision_round,answerable_now,"gap > remaining_rounds*3, or final round (ties resolved by tiebreaker).",Verify in title_decision_audit.csv.,title_decision_audit
3,How many teams were still in the title race near the end?,teams_in_title_race_5_rounds_before_end,see season_research_summary.csv,teams_in_title_race_5_rounds_before_end,answerable_now,Teams within 7 points of leader at checkpoint (5 rounds before end).,Compare across seasons.,recomputed_from_tracking
4,How many lead changes occurred after round 10?,lead_changes_after_round_10,see season_research_summary.csv,lead_changes_after_round_10,answerable_now,Leader changes after global round 10; includes championship playoff when tracking available.,See first_round_champion_distribution.,regular + championship_playoff_tracking
5,How stable was the champion throughout the season?,champion_rounds_as_leader_percentage,see season_research_summary.csv,champion_rounds_as_leader_percentage,answerable_now,Rounds as leader vs eventual champion; full title timeline in playoff seasons.,Cross-check rounds_led CSV.,regular + championship_playoff_tracking
6,How many teams were fighting relegation near the end?,teams_in_relegation_race_last_5_rounds,see season_research_summary.csv,teams_in_relegation_race_last_5_rounds,answerable_now,"Survival line = first relegation spot; abs(points-survival)<=6, rank_snap>=N-6; full-season incl. playoff.",See relegation_race_audit.csv; compare regular-only columns.,relegation_playoff_tracking + tracking
7,How volatile was the relegation zone?,relegation_zone_changes_total,see season_research_summary.csv,relegation_zone_changes_total,answerable_now,Notebook M4: half symmetric-diff zone changes on regular + relegation playoff timeline.,Use charts by season.,metric4_notebook_logic
8,In which round was relegation mathematically decided?,relegation_decision_round,see season_research_summary.csv,relegation_decision_round,answerable_now,From notebook Metric 2 (metric2_relegation_decision_timing.csv).,Verify per-team rows in metric2 CSV.,metric2_notebook
9,How close was the relegation battle?,relegation_closeness_score,see season_research_summary.csv,relegation_closeness_score,answerable_now,Composite score; late_contenders uses full-season teams_in_relegation_race_last_5_rounds.,Report top dramatic seasons.,recomputed
10,Is there home advantage in Ligat Ha'Al?,home_win_percentage,see season_research_summary.csv,home_win_percentage,answerable_now,From dated match scores.,Pool across seasons in report.,matches_all_seasons_dated
11,Which seasons were more attacking?,average_goals_per_match,see season_research_summary.csv,average_goals_per_match,answerable_now,From valid match scores.,Compare 0-0 rate and over 2.5.,matches_all_seasons_dated
12,How balanced was the league overall?,league_balance_score,see season_research_summary.csv,league_balance_score,answerable_now,"Std, gap, Gini from final table; Gini reused from gini_by_season.csv.",Highlight least balanced seasons.,gini_by_season.csv + final tables
13,How different were playoffs compared to the regular season?,regular_average_goals_per_match,see season_research_summary.csv,regular_average_goals_per_match,answerable_now,Regular from TM matches; playoff from betexplorer when needed.,Mark insufficient_stage_data seasons.,matches + betexplorer playoffs
14,Does Saturday attendance differ from non-Saturday attendance?,attendance_avg_saturday,see season_research_summary.csv,attendance_avg_saturday,answerable_now,Saturday vs non-Saturday from match attendance (15 seasons with coverage >= 60%).,Compare attendance_saturday_weekday_diff across seasons.,notebooks/attendance match files
15,Does weekday affect attendance?,attendance_by_weekday_anova_pvalue,see season_research_summary.csv,attendance_by_weekday_anova_pvalue,placeholder_pending_attendance_validation,Attendance analysis will be added after match-level attendance data is fully collected and validated.,Weekday ANOVA not yet implemented.,placeholder
16,Do competitive seasons attract higher attendance?,average_match_attendance_valid,see season_research_summary.csv,average_match_attendance_valid,answerable_now,average_match_attendance_valid filled for seasons with sufficient attendance coverage.,Correlate with title_race_closeness_score.,notebooks/attendance match files
17,Do top-of-table matches attract higher attendance?,top_match_attendance_avg,see season_research_summary.csv,top_match_attendance_avg,placeholder_pending_attendance_validation,Attendance analysis will be added after match-level attendance data is fully collected and validated.,Define top-match threshold then compute.,placeholder
